Nº,Card,Check
796,"Frodo, Sauron's Bane",FALSE
797,Gandalf the White,FALSE
798,Samwise the Stouthearted,FALSE
799,"Elrond, Lord of Rivendell",FALSE
800,"Gandalf, Friend of the Shire",FALSE
801,"Gollum, Patient Plotter",FALSE
802,"Sauron, the Necromancer",FALSE
803,Witch-king of Angmar,FALSE
804,"Gimli, Counter of Kills",FALSE
805,"Legolas, Master Archer",FALSE
806,Meriadoc Brandybuck,FALSE
807,Peregrin Took,FALSE
808,"Aragorn, Company Leader",FALSE
809,"Aragorn, the Uniter",FALSE
810,"Elrond, Master of Healing",FALSE
811,"Faramir, Prince of Ithilien",FALSE
812,Frodo Baggins,FALSE
813,Galadriel of Lothlórien,FALSE
814,Gandalf the Grey,FALSE
815,"Gimli, Mournful Avenger",FALSE
816,"Legolas, Counter of Kills",FALSE
817,"Merry, Esquire of Rohan",FALSE
818,"Pippin, Guard of the Citadel",FALSE
819,Samwise Gamgee,FALSE
820,Saruman of Many Colors,FALSE
821,"Sauron, the Dark Lord",FALSE
822,"Sméagol, Helpful Guide",FALSE
823,Tom Bombadil,FALSE
824,Eagle of Deliverance,FALSE
825,Minas Tirith Garrison,FALSE
826,Warg Rider,FALSE
827,Riders of the Mark,FALSE
828,Mirkwood Channeler,FALSE
829,Eagle of Deliverance,FALSE
830,Minas Tirith Garrison,FALSE
831,Warg Rider,FALSE
832,Riders of the Mark,FALSE
833,Mirkwood Channeler,FALSE
