"Edicao (PTBR)","Edicao (EN)","Edicao (Sigla)","Card (PT)","Card (EN)",Quantidade,"Qualidade (M NM SP MP HP D)","Idioma (BR EN DE ES FR IT JP KO RU TW)","Raridade (M R U C)","Cor (W U B R G M A L)",Extras,"Card #",Comentario
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Boromir, Esperanca de Gondor","Boromir, Gondor's Hope",1,NM,PTEN,R,M,,452,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Campeoes de Minas Tirith","Champions of Minas Tirith",1,NM,PTEN,R,W,,412,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Cancao de Earendil","Song of Earendil",1,NM,PTEN,R,M,,479,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Capita de Lossarnach","Lossarnach Captain",1,NM,PTEN,R,W,,418,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Carniceiro de Moria","Moria Scavenger",1,NM,PTEN,R,M,,470,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Cavaleiros de Rohan","Riders of Rohan",1,NM,PTEN,R,M,,474,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Cirdan, o Armador","Cirdan the Shipwright",1,NM,PTEN,R,M,,453,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Com Ganancia Demais, Fundo Demais","Too Greedily, Too Deep",1,NM,PTEN,R,M,,482,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Convidada Voraz","Rapacious Guest",1,NM,PTEN,R,B,,430,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Convidados do Banquete","Banquet Guests",1,NM,PTEN,R,M,,450,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Convocacoes de Saruman","Summons of Saruman",1,NM,PTEN,R,M,,480,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Corda de Hithlain","Hithlain Rope",1,NM,PTEN,R,C,,486,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Coroa de Gondor","Crown of Gondor",1,NM,PTEN,R,C,,485,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Corsarios de Umbar","Corsairs of Umbar",1,NM,PTEN,R,U,,421,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Corte Ventoveloz","Windswift Slice",1,NM,PTEN,R,G,,447,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"De Ervas e Coelho Ensopado","Of Herbs and Stewed Rabbit",1,NM,PTEN,R,W,,419,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Denethor, Vidente da Pedra","Denethor, Stone Seer",1,NM,PTEN,R,U,,422,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Dragao do Tesouro da Caverna","Cavern-Hoard Dragon",1,NM,PTEN,R,R,,433,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Elrond do Conselho Branco","Elrond of the White Council",1,NM,PTEN,R,M,,454,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Emboscada dos Galadhrim","Galadhrim Ambush",1,NM,PTEN,R,G,,440,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Eomer, Rei de Rohan","Eomer, King of Rohan",1,NM,PTEN,R,M,,455,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Eowyn, Donzela do Escudo","Eowyn, Shieldmaiden",1,NM,PTEN,M,M,,456,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Erestor do Conselho","Erestor of the Council",1,NM,PTEN,R,M,,457,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Erguer a Palicada","Raise the Palisade",1,NM,PTEN,R,U,,425,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Faramir, Regente de Gondor","Faramir, Steward of Gondor",1,NM,PTEN,R,M,,458,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Fazendeiro Villa","Farmer Cotton",1,NM,PTEN,R,M,,459,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Fidelidade ao Reino","Fealty to the Realm",1,NM,PTEN,R,U,,423,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Frigideira Testada em Campo","Field-Tested Frying Pan",1,NM,PTEN,R,W,,413,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Frodo, Hobbit Aventureiro","Frodo, Adventurous Hobbit",1,NM,PTEN,M,M,,461,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Galadriel, Rainha Elfica","Galadriel, Elven-Queen",1,NM,PTEN,M,M,,462,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Gandalf, Viajante Rumo ao Oeste","Gandalf, Westward Voyager",1,NM,PTEN,M,M,,463,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Gilraen, Protetora Dunedain","Gilraen, Dunedain Protector",1,NM,PTEN,R,W,,415,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Gimli das Cavernas Cintilantes","Gimli of the Glittering Caves",1,NM,PTEN,R,R,,434,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Gollum, Espreitador Obcecado","Gollum, Obsessed Stalker",1,NM,PTEN,R,B,,428,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Grima, Lacaio de Saruman","Grima, Saruman's Footman",1,NM,PTEN,R,M,,464,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Gwaihir, a Maior das Aguias","Gwaihir, Greatest of the Eagles",1,NM,PTEN,R,W,,417,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Haldir, Tenente de Lorien","Haldir, Lorien Lieutenant",1,NM,PTEN,R,G,,441,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Hobbit Glutao","Feasting Hobbit",1,NM,PTEN,R,G,,439,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Juramento de Eorl","Oath of Eorl",1,NM,PTEN,R,M,,471,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Lamina de Lothlorien","Lothlorien Blade",1,NM,PTEN,R,C,,487,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Laracna, Tecela Macabra","Shelob, Dread Weaver",1,NM,PTEN,R,B,,431,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Legolas Verdefolha","Legolas Greenleaf",1,NM,PTEN,R,G,,442,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Lobelia, Defensora de Bolsao","Lobelia, Defender of Bag End",1,NM,PTEN,R,B,,429,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Mamute de Guerra Enfurecido","Rampaging War Mammoth",1,NM,PTEN,R,R,,436,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Merry, Protetor de Isengard","Merry, Warden of Isengard",1,NM,PTEN,R,M,,468,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Mestre de Cerco Orc","Orcish Siegemaster",1,NM,PTEN,R,R,,435,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Modelo de Unidade","Model of Unity",1,NM,PTEN,R,C,,488,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Monstruosidade do Lago","Monstrosity of the Lake",1,NM,PTEN,R,U,,424,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Nas Trevas Amarra-los","In the Darkness Bind Them",1,NM,PTEN,R,M,,465,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Navegar para o Oeste","Sail into the West",1,NM,PTEN,R,M,,475,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"O Balrog de Moria","The Balrog of Moria",1,NM,PTEN,R,M,,449,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"O Feitor","The Gaffer",1,NM,PTEN,R,W,,414,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"O Portao Negro","The Black Gate",1,NM,PTEN,R,L,,490,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Olhar Sem Palpebras","Lidless Gaze",1,NM,PTEN,R,M,,466,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Pedido de Ajuda","Call for Aid",1,NM,PTEN,R,R,,432,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Pippin, Protetor de Isengard","Pippin, Warden of Isengard",1,NM,PTEN,R,M,,472,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Ponei Motivado","Motivated Pony",1,NM,PTEN,R,G,,444,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Porco de Competicao","Prize Pig",1,NM,PTEN,R,G,,445,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Prender os Intrusos","Trap the Trespassers",1,NM,PTEN,R,U,,427,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Provocar das Ameias","Taunt from the Rampart",1,NM,PTEN,R,M,,481,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Radagast, Mago das Matas","Radagast, Wizard of Wilds",1,NM,PTEN,R,M,,473,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Reforcos da Hoste Cinzenta","Grey Host Reinforcements",1,NM,PTEN,R,W,,416,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Reliquia de Sauron","Relic of Sauron",1,NM,PTEN,R,C,,489,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Reunir o Entebate","Assemble the Entmoot",1,NM,PTEN,R,G,,438,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Sam, Ajudante Leal","Sam, Loyal Attendant",1,NM,PTEN,M,M,,476,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Saruman, A Mao Branca","Saruman, the White Hand",1,NM,PTEN,M,M,,477,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Sauron, Senhor dos Aneis","Sauron, Lord of the Rings",1,NM,PTEN,M,M,,478,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Senhor dos Nazgul","Lord of the Nazgul",1,NM,PTEN,R,M,,467,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Subjugar os Hobbits","Subjugate the Hobbits",1,NM,PTEN,R,U,,426,
"Contos da Terra Média Commander (Showcase Scrolls)","Tales of Middle-earth Commander (Showcase Scrolls)",ssltc,"Travessia de Caradhras","Travel Through Caradhras",1,NM,PTEN,R,G,,446,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Acordar o Dragao","Wake the Dragon",1,NM,PTEN,R,M,,154,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Alce da Floresta das Trevas","Mirkwood Elk",1,NM,PTEN,R,G,,124,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Aragorn, Rei de Gondor","Aragorn, King of Gondor",1,NM,PTEN,M,M,,85,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Armadilheiro da Floresta das Trevas","Mirkwood Trapper",1,NM,PTEN,R,M,,144,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Arquivista de Gondor","Archivist of Gondor",1,NM,PTEN,R,U,,101,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Arwen, Tecela da Esperanca","Arwen, Weaver of Hope",1,NM,PTEN,R,G,,118,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Avante, Eorlingas!","Forth Eorlingas!",1,NM,PTEN,R,M,,139,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Barbarvore, Anfitriao Gracioso","Treebeard, Gracious Host",1,NM,PTEN,R,M,,153,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Beregond da Guarda","Beregond of the Guard",1,NM,PTEN,R,W,,93,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Bilbo, Aniversariante","Bilbo, Birthday Celebrant",1,NM,PTEN,R,M,,131,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Boromir, Esperanca de Gondor","Boromir, Gondor's Hope",1,NM,PTEN,R,M,,132,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Campeoes de Minas Tirith","Champions of Minas Tirith",1,NM,PTEN,R,W,,94,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Capita de Lossarnach","Lossarnach Captain",1,NM,PTEN,R,W,,100,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Carniceiro de Moria","Moria Scavenger",1,NM,PTEN,R,M,,145,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Cavaleiros de Rohan","Riders of Rohan",1,NM,PTEN,R,M,,148,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Cirdan, o Armador","Cirdan the Shipwright",1,NM,PTEN,R,M,,133,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Com Ganancia Demais, Fundo Demais","Too Greedily, Too Deep",1,NM,PTEN,R,M,,152,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Convidada Voraz","Rapacious Guest",1,NM,PTEN,R,B,,111,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Convidados do Banquete","Banquet Guests",1,NM,PTEN,R,M,,130,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Convocacoes de Saruman","Summons of Saruman",1,NM,PTEN,R,M,,150,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Corda de Hithlain","Hithlain Rope",1,NM,PTEN,R,C,,156,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Coroa de Gondor","Crown of Gondor",1,NM,PTEN,R,C,,155,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Corsarios de Umbar","Corsairs of Umbar",1,NM,PTEN,R,U,,102,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Corte Ventoveloz","Windswift Slice",1,NM,PTEN,R,G,,128,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Denethor, Vidente da Pedra","Denethor, Stone Seer",1,NM,PTEN,R,U,,103,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Dragao do Tesouro da Caverna","Cavern-Hoard Dragon",1,NM,PTEN,R,R,,114,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Elrond do Conselho Branco","Elrond of the White Council",1,NM,PTEN,R,M,,134,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Emboscada dos Galadhrim","Galadhrim Ambush",1,NM,PTEN,R,G,,121,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Eomer, Rei de Rohan","Eomer, King of Rohan",1,NM,PTEN,R,M,,135,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Eowyn, Donzela do Escudo","Eowyn, Shieldmaiden",1,NM,PTEN,M,M,,86,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Erestor do Conselho","Erestor of the Council",1,NM,PTEN,R,M,,136,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Erguer a Palicada","Raise the Palisade",1,NM,PTEN,R,U,,106,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Faramir, Regente de Gondor","Faramir, Steward of Gondor",1,NM,PTEN,R,M,,137,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Fazendeiro Villa","Farmer Cotton",1,NM,PTEN,R,M,,138,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Fidelidade ao Reino","Fealty to the Realm",1,NM,PTEN,R,U,,104,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Frigideira Testada em Campo","Field-Tested Frying Pan",1,NM,PTEN,R,W,,95,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Frodo, Hobbit Aventureiro","Frodo, Adventurous Hobbit",1,NM,PTEN,M,M,,87,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Galadriel, Rainha Elfica","Galadriel, Elven-Queen",1,NM,PTEN,M,M,,88,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Gandalf, Viajante Rumo ao Oeste","Gandalf, Westward Voyager",1,NM,PTEN,M,M,,89,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Gilraen, Protetora Dunedain","Gilraen, Dunedain Protector",1,NM,PTEN,R,W,,97,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Gimli das Cavernas Cintilantes","Gimli of the Glittering Caves",1,NM,PTEN,R,R,,115,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Gollum, Espreitador Obcecado","Gollum, Obsessed Stalker",1,NM,PTEN,R,B,,109,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Grima, Lacaio de Saruman","Grima, Saruman's Footman",1,NM,PTEN,R,M,,140,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Gwaihir, a Maior das Aguias","Gwaihir, Greatest of the Eagles",1,NM,PTEN,R,W,,99,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Haldir, Tenente de Lorien","Haldir, Lorien Lieutenant",1,NM,PTEN,R,G,,122,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Hobbit Glutao","Feasting Hobbit",1,NM,PTEN,R,G,,120,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Lamina de Lothlorien","Lothlorien Blade",1,NM,PTEN,R,C,,157,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Laracna, Tecela Macabra","Shelob, Dread Weaver",1,NM,PTEN,R,B,,112,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Legolas Verdefolha","Legolas Greenleaf",1,NM,PTEN,R,G,,123,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Lobelia, Defensora de Bolsao","Lobelia, Defender of Bag End",1,NM,PTEN,R,B,,110,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Mamute de Guerra Enfurecido","Rampaging War Mammoth",1,NM,PTEN,R,R,,117,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Merry, Protetor de Isengard","Merry, Warden of Isengard",1,NM,PTEN,R,M,,143,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Mestre de Cerco Orc","Orcish Siegemaster",1,NM,PTEN,R,R,,116,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Modelo de Unidade","Model of Unity",1,NM,PTEN,R,C,,158,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Monstruosidade do Lago","Monstrosity of the Lake",1,NM,PTEN,R,U,,105,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Navegar para o Oeste","Sail into the West",1,NM,PTEN,R,M,,149,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"O Balrog de Moria","The Balrog of Moria",1,NM,PTEN,R,M,,129,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"O Feitor","The Gaffer",1,NM,PTEN,R,W,,96,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"O Portao Negro","The Black Gate",1,NM,PTEN,R,L,,160,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Olhar Sem Palpebras","Lidless Gaze",1,NM,PTEN,R,M,,141,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Pedido de Ajuda","Call for Aid",1,NM,PTEN,R,R,,113,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Pippin, Protetor de Isengard","Pippin, Warden of Isengard",1,NM,PTEN,R,M,,146,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Ponei Motivado","Motivated Pony",1,NM,PTEN,R,G,,125,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Porco de Competicao","Prize Pig",1,NM,PTEN,R,G,,126,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Prender os Intrusos","Trap the Trespassers",1,NM,PTEN,R,U,,108,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Provocar das Ameias","Taunt from the Rampart",1,NM,PTEN,R,M,,151,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Radagast, Mago das Matas","Radagast, Wizard of Wilds",1,NM,PTEN,R,M,,147,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Reforcos da Hoste Cinzenta","Grey Host Reinforcements",1,NM,PTEN,R,W,,98,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Reliquia de Sauron","Relic of Sauron",1,NM,PTEN,R,C,,159,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Reunir o Entebate","Assemble the Entmoot",1,NM,PTEN,R,G,,119,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Sam, Ajudante Leal","Sam, Loyal Attendant",1,NM,PTEN,M,M,,90,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Saruman, A Mao Branca","Saruman, the White Hand",1,NM,PTEN,M,M,,91,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Sauron, Senhor dos Aneis","Sauron, Lord of the Rings",1,NM,PTEN,M,M,,92,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Senhor dos Nazgul","Lord of the Nazgul",1,NM,PTEN,R,M,,142,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Subjugar os Hobbits","Subjugate the Hobbits",1,NM,PTEN,R,U,,107,
"Contos da Terra Média Commander (Variants)","Tales of Middle-earth Commander (Variants)",vltc,"Travessia de Caradhras","Travel Through Caradhras",1,NM,PTEN,R,G,,127,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"A Batalha de Beiragua","The Battle of Bywater",1,NM,PTEN,R,W,,2,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"A Cancao do Banho","The Bath Song",1,NM,PTEN,U,U,,40,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Acoite do Balrog","Lash of the Balrog",1,NM,PTEN,C,B,,92,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Agressor Goblin","Goblin Assailant",1,NM,PTEN,C,R,,295,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Aguias do Norte","Eagles of the North",1,NM,PTEN,C,W,,7,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,Aliviamento,Reprieve,1,NM,PTEN,U,W,,26,
